"","","", "java-fannkuch-redux", "java-reverse-complement", "java-fasta", "java-n-body", "kotlin-converted-fannkuch-redux", "kotlin-converted-reverse-complement", "kotlin-converted-fasta", "kotlin-converted-n-body", "kotlin-idiomatic-fannkuch-redux", "kotlin-idiomatic-reverse-complement", "kotlin-idiomatic-fasta", "kotlin-idiomatic-n-body"
Implementation, "", "", "java", "java", "java", "java", "kotlin-converted", "kotlin-converted", "kotlin-converted", "kotlin-converted", "kotlin-idiomatic", "kotlin-idiomatic", "kotlin-idiomatic", "kotlin-idiomatic"
"ARRAY_LENGTH IF_NEZ""","","", 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.006666666666666667, 0.0, 0.0, 0.0
"ARRAY_LENGTH IGET""","","", 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.005333333333333333, 0.0, 0.0, 0.0, 0.0, 0.0
"ARRAY_LENGTH INVOKE_STATIC""","","", 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.002886002886002886
"ARRAY_LENGTH MOVE""","","", 0.0, 0.0, 0.0, 0.0, 0.0, 0.0015873015873015873, 0.0026666666666666666, 0.001763668430335097, 0.0, 0.0, 0.0, 0.0
"ARRAY_LENGTH MOVE_FROM16""","","", 0.0, 0.0, 0.0, 0.011135857461024499, 0.0, 0.0, 0.0, 0.008818342151675485, 0.006666666666666667, 0.0, 0.0, 0.007215007215007215
"ARRAY_LENGTH MOVE_OBJECT""","","", 0.0, 0.0, 0.0, 0.0, 0.0, 0.0015873015873015873, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
"ARRAY_LENGTH MOVE_OBJECT_FROM16""","","", 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.002053388090349076, 0.0
"ARRAY_LENGTH MUL_INT_LIT8""","","", 0.0, 0.003875968992248062, 0.0, 0.0, 0.0, 0.0015873015873015873, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
"ARRAY_LENGTH NEW_ARRAY""","","", 0.0, 0.0, 0.004830917874396135, 0.0, 0.0, 0.0, 0.0026666666666666666, 0.0, 0.0, 0.0, 0.0, 0.0
"ARRAY_LENGTH REM_INT_LIT8""","","", 0.0, 0.0, 0.00966183574879227, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
"ARRAY_LENGTH SGET""","","", 0.0, 0.003875968992248062, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
"CHECK_CAST ADD_INT_LIT8""","","", 0.0, 0.0, 0.0, 0.0, 0.0, 0.0015873015873015873, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
"CHECK_CAST ARRAY_LENGTH""","","", 0.0, 0.0, 0.0, 0.0, 0.010101010101010102, 0.0, 0.0026666666666666666, 0.0, 0.006666666666666667, 0.0, 0.004106776180698152, 0.002886002886002886
"CHECK_CAST CONST_16""","","", 0.0, 0.0, 0.0, 0.0, 0.0, 0.0015873015873015873, 0.0, 0.0, 0.0, 0.0106951871657754, 0.004106776180698152, 0.0
"CHECK_CAST CONST_4""","","", 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0053475935828877, 0.002053388090349076, 0.0
"CHECK_CAST IF_EQZ""","","", 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0053475935828877, 0.0, 0.0
"CHECK_CAST IGET_WIDE""","","", 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.001443001443001443
"CHECK_CAST INVOKE_DIRECT""","","", 0.0, 0.0, 0.0, 0.0, 0.0, 0.13333333333333333, 0.0, 0.0, 0.0, 0.0106951871657754, 0.004106776180698152, 0.0
"CHECK_CAST INVOKE_STATIC_RANGE""","","", 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.006666666666666667, 0.0, 0.0, 0.0
"CHECK_CAST INVOKE_VIRTUAL""","","", 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.013333333333333334, 0.021164021164021163, 0.013333333333333334, 0.016042780748663103, 0.004106776180698152, 0.001443001443001443
"CHECK_CAST INVOKE_VIRTUAL_RANGE""","","", 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.001443001443001443
"CHECK_CAST IPUT_OBJECT""","","", 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0106951871657754, 0.0, 0.0
"CHECK_CAST MOVE_OBJECT""","","", 0.0, 0.0, 0.0, 0.0, 0.0, 0.012698412698412698, 0.010666666666666666, 0.0, 0.0, 0.0213903743315508, 0.0, 0.0
"CHECK_CAST MOVE_OBJECT_FROM16""","","", 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.003527336860670194, 0.0, 0.0, 0.002053388090349076, 0.002886002886002886
"CHECK_CAST NEW_INSTANCE""","","", 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.006160164271047228, 0.0
"CHECK_CAST NOP""","","", 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.006666666666666667, 0.0053475935828877, 0.002053388090349076, 0.0
"CHECK_CAST THROW""","","", 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.005333333333333333, 0.0, 0.0, 0.0, 0.0, 0.0
"CMPG_FLOAT IF_GEZ""","","", 0.0, 0.0, 0.004830917874396135, 0.0, 0.0, 0.0, 0.0026666666666666666, 0.0, 0.0, 0.0, 0.0, 0.0
"CMPL_DOUBLE IF_LTZ""","","", 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.002053388090349076, 0.0
"CONST CONST""","","", 0.0, 0.0, 0.00966183574879227, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
"CONST IF_NE""","","", 0.0, 0.0, 0.00966183574879227, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
"CONST IPUT""","","", 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.002053388090349076, 0.0
"CONST MUL_FLOAT_2ADDR""","","", 0.0, 0.0, 0.004830917874396135, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
"CONST NEW_ARRAY""","","", 0.0, 0.0, 0.00966183574879227, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
"CONST REM_INT_2ADDR""","","", 0.0, 0.0, 0.004830917874396135, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
"CONST SGET""","","", 0.0, 0.0, 0.004830917874396135, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
"CONST SPUT""","","", 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0026666666666666666, 0.0, 0.0, 0.0, 0.0, 0.0
"CONST_16 AGET""","","", 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.02, 0.0, 0.0, 0.0
"CONST_16 APUT_BYTE""","","", 0.0, 0.0, 0.00966183574879227, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
"CONST_16 ARRAY_LENGTH""","","", 0.0, 0.0, 0.004830917874396135, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
"CONST_16 CONST""","","", 0.0, 0.0, 0.01932367149758454, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
