"","","", "java-fannkuch-redux", "java-reverse-complement", "java-fasta", "java-n-body", "kotlin-converted-fannkuch-redux", "kotlin-converted-reverse-complement", "kotlin-converted-fasta", "kotlin-converted-n-body", "kotlin-idiomatic-fannkuch-redux", "kotlin-idiomatic-reverse-complement", "kotlin-idiomatic-fasta", "kotlin-idiomatic-n-body"
Implementation, "", "", "java", "java", "java", "java", "kotlin-converted", "kotlin-converted", "kotlin-converted", "kotlin-converted", "kotlin-idiomatic", "kotlin-idiomatic", "kotlin-idiomatic", "kotlin-idiomatic"
"MOVE_RESULT_WIDE""","","", 0.0, 0.0, 0.0, 0.008583690987124463, 0.0, 0.0, 0.0, 0.12052117263843648, 0.0, 0.0, 0.009689922480620155, 0.07084468664850137
"MOVE_WIDE_FROM16""","","", 0.0, 0.0, 0.0, 0.10300429184549356, 0.0, 0.0, 0.0, 0.014657980456026058, 0.0, 0.0, 0.0, 0.04632152588555858
"MUL_DOUBLE""","","", 0.0, 0.0, 0.0, 0.060085836909871244, 0.0, 0.0, 0.0, 0.04560260586319218, 0.0, 0.0, 0.0, 0.03814713896457766
"MUL_DOUBLE_2ADDR""","","", 0.0, 0.0, 0.0, 0.006437768240343348, 0.0, 0.0, 0.0, 0.03420195439739414, 0.0, 0.0, 0.001937984496124031, 0.004087193460490463
"MUL_FLOAT_2ADDR""","","", 0.0, 0.0, 0.00851063829787234, 0.0, 0.0, 0.0, 0.004705882352941176, 0.0, 0.0, 0.0, 0.0, 0.0
"MUL_INT_2ADDR""","","", 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.002352941176470588, 0.0, 0.0, 0.0, 0.0, 0.0
"MUL_INT_LIT16""","","", 0.0, 0.0, 0.00425531914893617, 0.0, 0.0, 0.0, 0.002352941176470588, 0.0, 0.0, 0.0, 0.0, 0.0
"MUL_INT_LIT8""","","", 0.0, 0.0036101083032490976, 0.01276595744680851, 0.0, 0.0, 0.0013966480446927375, 0.007058823529411765, 0.0, 0.0, 0.0, 0.005813953488372093, 0.008174386920980926
"NEG_DOUBLE""","","", 0.0, 0.0, 0.0, 0.006437768240343348, 0.0, 0.0, 0.0, 0.004885993485342019, 0.0, 0.0, 0.0, 0.004087193460490463
"NEG_INT""","","", 0.009615384615384616, 0.0, 0.0, 0.0, 0.009174311926605505, 0.0, 0.0, 0.0, 0.006097560975609756, 0.0, 0.0, 0.0
"NEW_ARRAY""","","", 0.028846153846153848, 0.018050541516245487, 0.029787234042553193, 0.006437768240343348, 0.027522935779816515, 0.006983240223463687, 0.01647058823529412, 0.004885993485342019, 0.018292682926829267, 0.0, 0.011627906976744186, 0.004087193460490463
"NEW_INSTANCE""","","", 0.009615384615384616, 0.0036101083032490976, 0.02553191489361702, 0.012875536480686695, 0.009174311926605505, 0.002793296089385475, 0.021176470588235293, 0.011400651465798045, 0.018292682926829267, 0.04926108374384237, 0.025193798449612403, 0.010899182561307902
"NOP""","","", 0.0, 0.0, 0.00425531914893617, 0.0, 0.0, 0.0, 0.0, 0.0, 0.024390243902439025, 0.03940886699507389, 0.003875968992248062, 0.004087193460490463
"REM_DOUBLE_2ADDR""","","", 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.001937984496124031, 0.0
"REM_INT""","","", 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.002352941176470588, 0.0, 0.0, 0.0, 0.0, 0.0
"REM_INT_2ADDR""","","", 0.0, 0.0, 0.00425531914893617, 0.0, 0.0, 0.0, 0.004705882352941176, 0.0, 0.0, 0.0, 0.0, 0.0
"REM_INT_LIT8""","","", 0.009615384615384616, 0.0, 0.00851063829787234, 0.0, 0.009174311926605505, 0.0, 0.0, 0.0, 0.006097560975609756, 0.009852216748768473, 0.0, 0.0
"RETURN""","","", 0.009615384615384616, 0.007220216606498195, 0.00851063829787234, 0.0, 0.009174311926605505, 0.0223463687150838, 0.02823529411764706, 0.0, 0.0, 0.0, 0.005813953488372093, 0.0027247956403269754
"RETURN_OBJECT""","","", 0.0, 0.0, 0.0, 0.012875536480686695, 0.0, 0.023743016759776536, 0.007058823529411765, 0.009771986970684038, 0.006097560975609756, 0.0, 0.001937984496124031, 0.004087193460490463
"RETURN_VOID""","","", 0.019230769230769232, 0.039711191335740074, 0.03404255319148936, 0.01072961373390558, 0.01834862385321101, 0.05027932960893855, 0.02823529411764706, 0.024429967426710098, 0.012195121951219513, 0.024630541871921183, 0.009689922480620155, 0.01907356948228883
"RETURN_WIDE""","","", 0.0, 0.0, 0.0, 0.002145922746781116, 0.0, 0.0, 0.0, 0.02280130293159609, 0.0, 0.0, 0.001937984496124031, 0.020435967302452316
"SGET""","","", 0.0, 0.16967509025270758, 0.00851063829787234, 0.0, 0.0, 0.009776536312849162, 0.009411764705882352, 0.0, 0.0, 0.0, 0.0, 0.0
"SGET_OBJECT""","","", 0.019230769230769232, 0.10830324909747292, 0.01702127659574468, 0.004291845493562232, 0.01834862385321101, 0.02653631284916201, 0.011764705882352941, 0.019543973941368076, 0.006097560975609756, 0.019704433497536946, 0.001937984496124031, 0.0027247956403269754
"SGET_WIDE""","","", 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.004885993485342019, 0.0, 0.0, 0.0, 0.0
"SHR_INT_LIT8""","","", 0.009615384615384616, 0.0, 0.0, 0.0, 0.009174311926605505, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
"SPUT""","","", 0.0, 0.08664259927797834, 0.00851063829787234, 0.0, 0.0, 0.009776536312849162, 0.011764705882352941, 0.0, 0.0, 0.0, 0.0, 0.0
"SPUT_OBJECT""","","", 0.0, 0.02527075812274368, 0.01276595744680851, 0.0, 0.0, 0.01675977653631285, 0.002352941176470588, 0.0016286644951140066, 0.0, 0.0, 0.0, 0.0
"SPUT_WIDE""","","", 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.004885993485342019, 0.0, 0.0, 0.0, 0.0
"SUB_DOUBLE""","","", 0.0, 0.0, 0.0, 0.02145922746781116, 0.0, 0.0, 0.0, 0.016286644951140065, 0.0, 0.0, 0.0, 0.013623978201634877
"SUB_INT""","","", 0.019230769230769232, 0.0036101083032490976, 0.00425531914893617, 0.0, 0.01834862385321101, 0.00558659217877095, 0.002352941176470588, 0.0, 0.0, 0.0, 0.0, 0.0
"SUB_INT_2ADDR""","","", 0.0, 0.010830324909747292, 0.00425531914893617, 0.0, 0.0, 0.0, 0.002352941176470588, 0.0, 0.0, 0.0, 0.003875968992248062, 0.0
"THROW""","","", 0.0, 0.0, 0.00851063829787234, 0.0, 0.0, 0.0, 0.009411764705882352, 0.0, 0.0, 0.009852216748768473, 0.007751937984496124, 0.0
"USHR_LONG""","","", 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.009536784741144414
"XOR_INT_LIT8""","","", 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0049261083743842365, 0.0, 0.0
"XOR_LONG_2ADDR""","","", 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.009536784741144414
